time,base_pos,heading
0.0,[0.   0.   0.06],[ 0.         -3.14159265 -3.14159265  0.        ]
0.001,[0.   0.   0.06],[ 0.         -3.14159265 -3.14159265  0.        ]
0.002,[-1.13723282e-07  3.01455912e-09  5.99904388e-02],[ 3.92399223e-06 -3.14159265e+00 -3.14159265e+00  3.14159265e+00]
0.003,[-2.13026407e-07  2.23062897e-09  5.99710719e-02],[ 7.70897383e-06 -3.14159265e+00 -3.14159265e+00  3.14159265e+00]
0.004,[-2.88827314e-07  1.58990948e-09  5.99418676e-02],[ 1.09518365e-05 -3.14159265e+00 -3.14159265e+00  3.14159265e+00]
0.005,[-3.47052947e-07  1.41026294e-09  5.99028369e-02],[ 1.38124922e-05 -3.14159265e+00 -3.14159265e+00  3.14159265e+00]
0.006,[-3.93291001e-07  1.50907666e-09  5.98539918e-02],[ 1.64515612e-05 -3.14159265e+00 -3.14159265e+00  3.14159265e+00]
0.007,[-4.31405613e-07  1.72904845e-09  5.97953400e-02],[ 1.89755407e-05 -3.14159265e+00 -3.14159265e+00  3.14159265e+00]
0.008,[-4.63944941e-07  1.97437208e-09  5.97268854e-02],[ 2.14491411e-05 -3.14159265e+00 -3.14159265e+00  3.14159265e+00]
0.009000000000000001,[-4.92565716e-07  2.19244138e-09  5.96486295e-02],[ 2.39093066e-05 -3.14159265e+00 -3.14159265e+00  3.14159265e+00]
0.010000000000000002,[-5.18333912e-07  2.35729948e-09  5.95605722e-02],[ 2.63747422e-05 -3.14159265e+00 -3.14159265e+00  3.14159265e+00]
0.011000000000000003,[-5.41927505e-07  2.45878377e-09  5.94627120e-02],[ 2.88521297e-05 -3.14159265e+00 -3.14159265e+00  3.14159265e+00]
0.012000000000000004,[-5.63771903e-07  2.49580916e-09  5.93550468e-02],[ 3.13402956e-05 -3.14159265e+00 -3.14159265e+00  3.14159265e+00]
0.013000000000000005,[-5.84130031e-07  2.47229465e-09  5.92375739e-02],[ 3.38331095e-05 -3.14159265e+00 -3.14159265e+00  3.14159265e+00]
0.014000000000000005,[-6.03161964e-07  2.39472666e-09  5.91102907e-02],[ 3.63215603e-05 -3.14159265e+00 -3.14159265e+00  3.14159265e+00]
0.015000000000000006,[-6.20964129e-07  2.27072092e-09  5.89731942e-02],[ 3.87952770e-05 -3.14159265e+00 -3.14159265e+00  3.14159265e+00]
0.016000000000000007,[-6.37594822e-07  2.10818698e-09  5.88262817e-02],[ 4.12436527e-05 -3.14159265e+00 -3.14159265e+00  3.14159265e+00]
0.017000000000000008,[-6.53090609e-07  1.91485240e-09  5.86695506e-02],[ 4.36566755e-05 -3.14159265e+00 -3.14159265e+00  3.14159265e+00]
0.01800000000000001,[-6.67476656e-07  1.69799970e-09  5.85029985e-02],[ 4.60255308e-05 -3.14159265e+00 -3.14159265e+00  3.14159265e+00]
0.01900000000000001,[-6.80773075e-07  1.46432812e-09  5.83266235e-02],[ 4.83430242e-05 -3.14159265e+00 -3.14159265e+00  3.14159265e+00]
0.02000000000000001,[-6.92998668e-07  1.21988863e-09  5.81404238e-02],[ 5.06038576e-05 -3.14159265e+00 -3.14159265e+00  3.14159265e+00]
0.02100000000000001,[-7.04173010e-07  9.70061959e-10  5.79443978e-02],[ 5.28047835e-05 -3.14159265e+00 -3.14159265e+00  3.14159265e+00]
0.022000000000000013,[-7.14317489e-07  7.19562557e-10  5.77385447e-02],[ 5.49446602e-05 -3.14159265e+00 -3.14159265e+00  3.14159265e+00]
0.023000000000000013,[-7.23455713e-07  4.72458548e-10  5.75228637e-02],[ 5.70244244e-05 -3.14159265e+00 -3.14159265e+00  3.14159265e+00]
0.024000000000000014,[-7.31613557e-07  2.32202104e-10  5.72973543e-02],[ 5.90469962e-05 -3.14159265e+00 -3.14159265e+00  3.14159265e+00]
0.025000000000000015,[-8.97088035e-08 -3.33436010e-07  5.70762013e-02],[ 6.35643687e-05 -3.14159265e+00 -3.14159265e+00  3.14159265e+00]
